Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,APRS,144.390000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"",,,,
2,KL,145.000000,,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.0,,5.0W,"",,,,
3,9M2RKL,439.600000,-,5.00000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M2RKL near BUKIT LANJAN, None OPEN",,,,
4,9M2RKL-L1,439.850000,-,5.00000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M2RKL-L1 near BUKIT LANJAN, None OPEN",,,,
5,9M2RKL-DMR,439.150000,-,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.0,,4.0W,"9M2RKL-DMR near BUKIT LANJAN, None OPEN Connected to Brandmiester Network for now.",,,,
6,9M4RZS,147.650000,-,0.60000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RZS near BUKIT PERMAI, None OPEN",,,,
7,9M2RKK,147.980000,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M2RKK near BUKIT LANJAN, None OPEN",,,,
8,9M2RUK,146.987500,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M2RUK near GUNUNG ULU KALI, None OPEN",,,,
9,9M4RLG,147.900000,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RLG near GUNUNG ULU KALI, None OPEN MARTS Linking",,,,
10,9M4RBC,147.750000,-,0.60000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RBC near GUNUNG ULU KALI, None OPEN ASTRA Local",,,,
11,9M4RES,147.775000,-,0.60000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RES near GUNUNG ULU KALI, None OPEN",,,,
12,9M4RGH,145.675000,+,0.60000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RGH near GENTING HIGHLAND, None OPEN ASTRA Transnasional",,,,
13,PHG,145.000000,,0.60000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.0,,5.0W,"",,,,
14,9M4RCH,146.987500,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RCH near BUKIT BRINCHANG, None OPEN",,,,
15,9M4RLS,146.900000,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RLS near BUKIT SULAI, None OPEN MARTS Linking",,,,
16,9M4RHS,145.637500,-,0.60000,Tone,206.5,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RHS near GUNUNG ULU KALI, None OPEN",,,,
17,9M4RCA,147.000000,+,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RCA near BUKIT BRINCHANG, None OPEN",,,,
18,9M4RCZ,146.850000,-,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RCZ near BUKIT BIUS - KUALA LIPIS, None OPEN",,,,
19,9M4RCD,146.700000,-,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RCD near KUANTAN - BUKIT PELINDUNG, None OPEN",,,,
20,9M4RBI,147.800000,-,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RBI near BUKIT IBAM, None OPEN",,,,
21,9M4RCC,145.600000,-,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RCC near BUKIT FRASER, None OPEN",,,,
22,9M4RCE,146.100000,+,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RCE near BUKIT SULAI, None OPEN",,,,
23,9M4RCY,145.712500,-,0.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,12.5,,4.0W,"9M4RCY near TEMERLOH, None OPEN",,,,
